fuel,oxidizer,diluent,match,dil_mf_co2,mech,p0,t0,phi,dil_mf,cj,sound_speed
CH4,N2O,CO2,-,0.1,gri30_highT.xml,101325,300,0.4,0.1,1871.4391945294087,1020.1750567878001
CH4,N2O,N2,aft,0.1,gri30_highT.xml,101325,300,0.4,0.1749847555160525,1919.930836317691,1052.3201785353951
CH4,N2O,N2,ss,0.1,gri30_highT.xml,101325,300,0.4,0.3165909576416024,1857.1827902040534,1024.9378455957751
CH4,N2O,CO2,-,0.15,gri30_highT.xml,101325,300,0.4,0.15,1818.1682115324295,991.6017940305502
CH4,N2O,N2,aft,0.15,gri30_highT.xml,101325,300,0.4,0.2439600786566735,1891.424317091634,1039.7438356883
CH4,N2O,N2,ss,0.15,gri30_highT.xml,101325,300,0.4,0.4215489596128465,1797.0323180306254,999.6274547536163
CH4,N2O,CO2,-,0.2,gri30_highT.xml,101325,300,0.4,0.2,1764.914616826804,963.5827826002605
CH4,N2O,N2,aft,0.2,gri30_highT.xml,101325,300,0.4,0.305801310539246,1862.592154133746,1027.2456772364478
CH4,N2O,N2,ss,0.2,gri30_highT.xml,101325,300,0.4,0.5035090637207041,1737.247539224223,974.7833696559834
CH4,N2O,CO2,-,0.1,gri30_highT.xml,101325,300,0.7,0.1,1985.2589290475444,1075.6619388055533
CH4,N2O,N2,aft,0.1,gri30_highT.xml,101325,300,0.7,0.2080744338035587,2025.4055505056094,1102.9910397472172
CH4,N2O,N2,ss,0.1,gri30_highT.xml,101325,300,0.7,0.3248618793487556,1971.2041228747057,1077.431851470391
CH4,N2O,CO2,-,0.15,gri30_highT.xml,101325,300,0.7,0.15,1927.7125488290772,1044.3076172231797
CH4,N2O,N2,aft,0.15,gri30_highT.xml,101325,300,0.7,0.283881404399872,1991.3388192817133,1086.7463242229687
CH4,N2O,N2,ss,0.15,gri30_highT.xml,101325,300,0.7,0.4382381558418275,1907.045368343349,1047.8537395946398
CH4,N2O,CO2,-,0.2,gri30_highT.xml,101325,300,0.7,0.2,1870.893874241346,1013.3840215366197
CH4,N2O,N2,aft,0.2,gri30_highT.xml,101325,300,0.7,0.3477015781402593,1959.3649449505208,1071.762260918467
CH4,N2O,N2,ss,0.2,gri30_highT.xml,101325,300,0.7,0.5280200576828805,1843.2991660003377,1019.9175793275646
CH4,N2O,CO2,-,0.1,gri30_highT.xml,101325,300,1.0,0.1,2069.1438221658664,1119.3892725437477
CH4,N2O,N2,aft,0.1,gri30_highT.xml,101325,300,1.0,0.2235626316070561,2101.983900940151,1142.4302571750723
CH4,N2O,N2,ss,0.1,gri30_highT.xml,101325,300,1.0,0.3152319335937508,2055.3975894743753,1119.4801364956088
CH4,N2O,CO2,-,0.15,gri30_highT.xml,101325,300,1.0,0.15,2006.6997667903238,1085.0647592249634
CH4,N2O,N2,aft,0.15,gri30_highT.xml,101325,300,1.0,0.3052482426166535,2060.7519651937328,1122.1029871513715
CH4,N2O,N2,ss,0.15,gri30_highT.xml,101325,300,1.0,0.4322821998666041,1986.1268962376323,1085.998946209323
CH4,N2O,CO2,-,0.2,gri30_highT.xml,101325,300,1.0,0.2,1945.2080155159015,1051.481700029236
CH4,N2O,N2,aft,0.2,gri30_highT.xml,101325,300,1.0,0.3733891868591314,2022.602301262851,1103.5310373160244
CH4,N2O,N2,ss,0.2,gri30_highT.xml,101325,300,1.0,0.5272361958032717,1917.975334924051,1053.920835526828
